customer_id,name,age,salary,city,country,churn
CUST_1000,Michael Simmons,19,99196,,USA,0
CUST_1001,Rebecca Jones,52,,,united states,0
CUST_1002,Ashley Acosta,56,8335942,Chicago,,0
CUST_1003,Ryan Allen,35,36703,Austin,USA,0
CUST_1004,Melissa Frank,66,59312,,united states,0
CUST_1005,Carolyn Baker,69,,Seattle,united states,1
CUST_1006,Michael Perez,58,129800,New York,US_OFFICIAL,1
CUST_1007,Susan Hill,36,96024,Seattle,US,0
CUST_1008,Bethany Thomas,41,104986,New York,,0
CUST_1009,Matthew Miller,,77834,Chicago,united states,0
CUST_1010,Jane Hernandez,67,95043,Seattle,US,0
CUST_1011,Veronica Williams,54,117490,Seattle,USA,0
CUST_1012,Cynthia Chung,27,99651,Austin,,0
CUST_1013,James Hebert,55,92493,New York,USA,0
CUST_1014,Gregory Miles,27,145666,,US_OFFICIAL,0
CUST_1015,Adam Chang,51,38009,Chicago,,0
CUST_1016,Jennifer Ware,39,148971,Austin,USA,0
CUST_1017,Alan Long,50,113235,San Francisco,,0
CUST_1018,Mary Carlson,52,174029,Seattle,US,1
CUST_1019,Nancy Scott,69,50184,New York,USA,0
CUST_1020,Brenda Hogan,22,174645,,USA,0
CUST_1021,Adrian White,34,145923,San Francisco,USA,0
CUST_1022,Jose Sullivan,60,149845,San Francisco,US_OFFICIAL,0
CUST_1023,John Owen,55,92728,,US,0
CUST_1024,Melvin Lewis,20,53574,Seattle,US_OFFICIAL,0
CUST_1025,Diane Hodges,,158907,Seattle,USA,0
CUST_1026,Cameron Hammond,,146038,New York,united states,0
CUST_1027,Barbara Erickson,24,,New York,,0
CUST_1028,Lauren Perry,,145593,San Francisco,USA,0
CUST_1029,Catherine Aguilar,290,,New York,,0
CUST_1030,Richard Potter,33,162307,Seattle,united states,0
CUST_1031,Madeline Knight,,11550190,Seattle,United States,0
CUST_1032,Brent Johnson,64,162577,San Francisco,USA,0
CUST_1033,David Brown,52,,,United States,0
CUST_1034,Louis Montgomery,51,168124,New York,US,0
CUST_1035,Mary Harris,33,99543,Chicago,US_OFFICIAL,0
CUST_1036,Nancy Hopkins,54,103358,Austin,USA,0
CUST_1037,Bonnie Contreras,60,154858,New York,United States,1
CUST_1038,Andrea Johnson,54,54204,Austin,US_OFFICIAL,0
CUST_1039,Steven Chaney,22,131869,Chicago,United States,0
CUST_1040,Edward Garcia,69,37050,Austin,,0
CUST_1041,Ryan Miles,,104328,Chicago,US,0
CUST_1042,Joseph Bennett,31,88371,Austin,,0
CUST_1043,Judith Dawson,21,,New York,united states,1
CUST_1044,Gregory Chase,58,77357,Seattle,,0
CUST_1045,Patricia Douglas,,74073,,US_OFFICIAL,0
CUST_1046,Brian Price,45,115808,New York,United States,0
CUST_1047,Mr. Alexander Martin,33,127714,Seattle,US_OFFICIAL,0
CUST_1048,Ronald Lawson,33,81413,,united states,0
CUST_1049,Sandra Roberson,44,100055,New York,United States,0
CUST_1050,John Castaneda,-8,155665,San Francisco,United States,0
CUST_1051,Carol Clarke,43,53198,Chicago,United States,0
CUST_1052,Jillian Banks,52,42235,Austin,US,0
CUST_1053,Stephanie Martinez,34,,Austin,US_OFFICIAL,0
CUST_1054,Sharon Barry,25,84828,,United States,0
CUST_1055,Thomas Klein,69,86651,Austin,United States,0
CUST_1056,Kathleen Carpenter,25,113727,Seattle,US_OFFICIAL,0
CUST_1057,Angela Garcia,53,145217,San Francisco,,0
CUST_1058,William Bates,53,114658,Chicago,United States,0
CUST_1059,William Brown,46,91020,San Francisco,US_OFFICIAL,0
CUST_1060,Candace Taylor,60,122867,San Francisco,US,0
CUST_1061,Nancy White,30,47114,Chicago,USA,0
CUST_1062,Jeremy Powers,256,85970,Seattle,,0
CUST_1063,Dale Lucas,,62941,Chicago,united states,0
CUST_1064,Kenneth Murphy,25,156803,Chicago,,0
CUST_1065,Emily Phillips,46,167324,Chicago,united states,0
CUST_1066,Sierra Rodriguez,,152983,Austin,United States,0
CUST_1067,Jason Acevedo,58,150309,San Francisco,US,0
CUST_1068,Scott Campos,52,,San Francisco,USA,0
CUST_1069,Shannon Sloan,254,157139,,united states,0
CUST_1070,Jessica Murray,67,40120,New York,US_OFFICIAL,0
CUST_1071,Allison Adams,42,144843,Chicago,US_OFFICIAL,0
CUST_1072,William Scott,49,149251,,united states,0
CUST_1073,Pamela Cooper,43,157523,Chicago,USA,1
CUST_1074,Karina Brown,54,57006,Seattle,,0
CUST_1075,Renee Ray,38,120680,Seattle,United States,0
CUST_1076,Charlene Fletcher,44,56471,,united states,0
CUST_1077,Troy Quinn,40,52987,,,1
CUST_1078,Maria Adams,19,97533,New York,USA,0
CUST_1079,Thomas Jones,62,131703,New York,USA,0
CUST_1080,Stephen Contreras,,41731,Seattle,United States,0
CUST_1081,Christopher Chen,22,98661,Austin,US,0
CUST_1082,Steven Donovan,25,45766,Austin,United States,1
CUST_1083,Stephanie Lee,18,163503,Austin,US,0
CUST_1084,Robin Williams,63,81173,Austin,,0
CUST_1085,Terri Williams,67,149183,Austin,,0
CUST_1086,Bruce Evans,23,153175,Chicago,USA,0
CUST_1087,Andrew Robles,19,120200,Austin,USA,0
CUST_1088,Thomas Cunningham,56,107422,,US_OFFICIAL,0
CUST_1089,Jessica Kim,,163077,Seattle,US_OFFICIAL,0
CUST_1090,Leslie Delgado,68,9936453,San Francisco,USA,0
CUST_1091,Amanda Lopez,48,125113,Chicago,united states,0
CUST_1092,Timothy Cunningham,35,95434,Austin,US,0
CUST_1093,Troy Taylor,66,85211,Austin,USA,0
CUST_1094,Kayla Moon,51,61352,Austin,USA,0
CUST_1095,Denise Baker,-9,46931,San Francisco,US,0
CUST_1096,David Singh,24,109537,Austin,united states,0
CUST_1097,Joy Allen,272,52129,Chicago,united states,0
